time,Core_P_in,Core_P_out,Core_T_in,Core_T_out,FliBe_mass_flow,FliBe_mass_flow2,Fuel_mass_flow,Gas_mass_flow,HX2_Tin_p,HX2_Tout_p,HX2_Tout_s,HX_Pin_s,HX_Tin_p,HX_Tout_p,HX_Tout_s,HX_Uout_s,HX_cold_temp,core_power,Core_In_Branch:pressure,Core_In_Branch:rho,Core_In_Branch:temperature,Core_In_Branch:velocity,Core_Out_Branch:pressure,Core_Out_Branch:rho,Core_Out_Branch:temperature,Core_Out_Branch:velocity,IHX1_P3:pressure,IHX1_P3:rho,IHX1_P3:temperature,IHX1_P3:velocity,IHX1_P4:pressure,IHX1_P4:rho,IHX1_P4:temperature,IHX1_P4:velocity,J_IHX2_P6:pressure,J_IHX2_P6:rho,J_IHX2_P6:temperature,J_IHX2_P6:velocity,J_P2_IHX1:pressure,J_P2_IHX1:rho,J_P2_IHX1:temperature,J_P2_IHX1:velocity,J_P4_P5:pressure,J_P4_P5:rho,J_P4_P5:temperature,J_P4_P5:velocity,J_P5_IHX2:pressure,J_P5_IHX2:rho,J_P5_IHX2:temperature,J_P5_IHX2:velocity,J_P6_P7:pressure,J_P6_P7:rho,J_P6_P7:temperature,J_P6_P7:velocity,P8_IHX1:pressure,P8_IHX1:rho,P8_IHX1:temperature,P8_IHX1:velocity,pump2:pressure,pump2:pump_head,pump2:rho,pump2:temperature,pump2:velocity,pump:pressure,pump:pump_head,pump:rho,pump:temperature,pump:velocity
-200,218609.97102411,111912.23940263,949.66579575967,1048.2345630317,-16845.474482691,16845.466630797,18087.250133303,-2571.1627697075,959.7660347606,886.75955777247,895.3350004028,199642.89375146,1048.2273820938,949.66662661479,959.74768245993,-2.4059819915436,949.6656617247,3000000000,228013.96327834,4145.9553729587,949.66511002415,1.9476006159515,92964.041835194,4059.0171177264,1048.2345604009,1.9893168245698,269399.25016166,4145.9540350556,949.66662692111,1.9476006155577,94370.84542149,1944.8603309596,959.74768245993,2.4059819915436,72159.592611373,1980.478535807,886.75955777247,2.3627116594014,214635.18545418,4059.0170822266,1048.2346006501,1.9893144010464,64763.376183957,1944.8611107033,959.7460846243,2.4059796090453,57311.56501792,1944.8611570691,959.74598961246,2.4059796090453,61075.285446567,1980.4776445022,886.76138421684,2.3627116594014,205171.84545014,1980.4780023587,886.76065090422,2.3627116594282,211281.02716911,176000,1980.4778197167,886.76102517063,2.3627116594014,213537.54955323,156010.45,4059.0169754944,1048.2347216616,1.9893144008433
-199,218609.94843573,111912.23286427,949.6730540883,1048.2369447866,-16845.475309859,16845.467312528,18087.249476266,-2571.1623778843,959.76724607857,886.76276840237,895.33058883847,199642.87428316,1048.2321658835,949.66722164989,959.74802694831,-2.4059826944295,949.66669687904,2999999199.1713,228013.95543943,4145.9544466267,949.66616028723,1.947600980356,92964.043201261,4059.0150089778,1048.2369512724,1.9893171441345,269399.24942404,4145.9535101872,949.66722201001,1.9476009798251,94370.842715433,1944.8601628492,959.74802694832,2.4059826944292,72159.585611971,1980.4769690197,886.76276840233,2.3627122919164,214635.1860456,4059.0161654886,1048.2356400356,1.9893147945852,64763.362566569,1944.8605799672,959.74717219828,2.4059803656545,57311.546899089,1944.8606241761,959.74708160627,2.4059803656543,61075.275243918,1980.47720131,886.76229239745,2.3627122919163,205171.8297146,1980.4775694444,886.7615380238,2.3627122919121,211281.01631327,176000,1980.477386357,886.76191320289,2.3627122919164,213537.5542155,156010.45,4059.0160529052,1048.2357676812,1.9893147932106
-197.95,218609.92537411,111912.23484845,949.67430753708,1048.2376674364,-16845.475675871,16845.4682354,18087.248644818,-2571.1624110266,959.76836164232,886.76340443724,895.33116977507,199642.83932924,1048.2333445389,949.66829158845,959.74918498114,-2.4059834008117,949.66777139224,2999999199.1713,228013.93470048,4145.953486508,949.6672488571,1.9476013418521,92964.041758268,4059.0143756044,1048.2376693827,1.9893174508094,269399.23415255,4145.9525662492,949.66829223452,1.9476013413176,94370.841042301,1944.8595977292,959.74918498114,2.4059834008117,72159.553992444,1980.4766586346,886.76340443724,2.3627128746733,214635.17185904,4059.0152131196,1048.2367198191,1.989315189251,64763.349083673,1944.8600344031,959.74829015761,2.4059811741789,57311.52793616,1944.8600771586,959.74820254388,2.4059811741789,61075.240456668,1980.4767802513,886.76315522277,2.3627128746733,205171.79623576,1980.4771239748,886.76245087124,2.3627128746943,211280.98422039,176000,1980.4769482164,886.76281103191,2.3627128746733,213537.54375987,156010.45,4059.0151029475,1048.2368447307,1.9893151878278
-196.8475,218609.90257734,111912.23538627,949.67535497275,1048.2386667481,-16845.476179325,16845.468954061,18087.247933636,-2571.1624424321,959.76951967535,886.76424673956,895.33206858792,199642.80589906,1048.2343397801,949.66934246552,959.75029804793,-2.4059841208699,949.66885454826,2999999199.1713,228013.91304418,4145.9525090478,949.66835708863,1.9476017244294,92964.040638741,4059.0134935134,1048.238669486,1.9893177782868,269399.21911716,4145.9516393851,949.6693431008,1.947601723937,94370.839241328,1944.8590545526,959.75029804789,2.405984121052,72159.52507055,1980.47624759,886.76424674176,2.3627134636112,214635.15893375,4059.0143051441,1048.2377492697,1.9893156064746,64763.335873799,1944.8594713051,959.74944404698,2.4059819752737,57311.509421698,1944.8595116293,959.74936141541,2.4059819754598,61075.20825274,1980.4763902138,886.76395447991,2.3627134632043,205171.76435687,1980.4766897742,886.76334062656,2.3627134632855,211280.95404293,176000,1980.4765348358,886.76365812326,2.3627134634756,213537.53477866,156010.45,4059.0142116992,1048.2378552164,1.9893156051389
-195.689875,218609.87884889,111912.236353,949.67648238567,1048.2397034367,-16845.476806799,16845.469581554,18087.247323729,-2571.1624782081,959.77069282734,886.76511109962,895.3330499953,199642.77320513,1048.2353273434,949.67041323323,959.75140556541,-2.4059848377857,949.66994434534,2999999199.1713,228013.89095824,4145.9515273536,949.6694701206,1.9476021199068,92964.039487252,4059.0125790596,1048.2397062816,1.989318117381,269399.20393227,4145.9506949582,949.67041387954,1.9476021194332,94370.837447616,1944.8585140841,959.75140556539,2.4059848380627,72159.496505908,1980.4758257821,886.76511110218,2.3627140508702,214635.14628686,4059.0134315273,1048.2387397649,1.9893160292985,64763.322607611,1944.8589018703,959.75061092154,2.4059827721297,57311.490900047,1944.8589395316,959.75053374674,2.40598277241,61075.176589424,1980.4759800227,886.7647950355,2.3627140503448,205171.73324784,1980.4762714235,886.76419790267,2.3627140503747,211280.92460339,176000,1980.4761269456,886.76449396401,2.3627140506748,213537.52608979,156010.45,4059.0133447328,1048.2388381715,1.9893160280303
-194.47436875,218609.85492597,111912.23745341,949.67759999984,1048.2407303662,-16845.477376048,16845.470231419,18087.246724096,-2571.162515074,959.77185160867,886.76600960355,895.33405075807,199642.74101506,1048.2363584381,949.67146035385,959.75250200893,-2.4059855546143,949.67102398022,2999999199.1713,228013.86866327,4145.9505499594,949.6705782773,1.9476025144689,92964.038324432,4059.0116733151,1048.2407332029,1.9893184553454,269399.18845996,4145.9497714131,949.67146098292,1.947602514038,94370.835640319,1944.8579790186,959.75250201099,2.4059855550076,72159.468026293,1980.4753873115,886.76600960768,2.3627146414254,214635.1332684,4059.0125204495,1048.239772733,1.9893164564444,64763.309400261,1944.8583403009,959.75176167849,2.4059835637103,57311.472459248,1944.8583742585,959.75169209331,2.4059835641006,61075.145085922,1980.4755404323,886.76569583539,2.3627146407307,205171.70262903,1980.4758435112,886.76507477219,2.362714640735,211280.89565703,176000,1980.4756945176,886.76538008692,2.3627146411384,213537.51709794,156010.45,4059.0124302381,1048.2398750134,1.9893164551235
-193.1980871875,218609.83123543,111912.23848554,949.67870474786,1048.2417693946,-16845.477833161,16845.470991498,18087.246146636,-2571.1625521684,959.77298866249,886.76691969897,895.33504516651,199642.70793658,1048.2374366914,949.67251168621,959.75360602275,-2.4059862815758,949.67209645382,2999999199.1713,228013.84659164,4145.9495818506,949.6716759063,1.9476029070945,92964.037197333,4059.0107568863,1048.2417722378,1.9893187919421,269399.17326045,4145.9488441377,949.67251231557,1.9476029066494,94370.833804862,1944.8574402602,959.7536060242,2.4059862817361,72159.43864689,1980.4749431838,886.76691970529,2.362715245602,214635.120199,4059.0115674102,1048.2408532764,1.9893168864274,64763.295983627,1944.8577859258,959.75289769307,2.4059843598383,57311.453725362,1944.8578194598,959.75282897591,2.4059843600209,61075.112583026,1980.4750890389,886.76662082183,2.3627152453319,205171.67111615,1980.4753905756,886.76600291886,2.3627152452982,211280.86583247,176000,1980.4752390531,886.76631341579,2.3627152454024,213537.50808698,156010.45,4059.0114766729,1048.2409561531,1.98931688507
-191.85799154687,218609.80787264,111912.23953939,949.6798107344,1048.2427926554,-16845.478286245,16845.471825039,18087.245572167,-2571.1625889504,959.77413595718,886.76782179379,895.33603171517,199642.67354406,1048.2385206657,949.67358839435,959.75473543625,-2.4059870222339,949.6731818695,2999999199.1713,228013.8248589,4145.9486127539,949.67277465543,1.9476033004565,92964.036032305,4059.0098543948,1048.2427954707,1.9893191297068,269399.1584055,4145.9478944712,949.67358903496,1.9476033000391,94370.831934353,1944.8568891057,959.75473543921,2.4059870224639,72159.408266865,1980.4745029628,886.76782179756,2.3627158659588,214635.10722753,4059.010609277,1048.2419395953,1.9893173128992,64763.282329442,1944.8572271199,959.75404278714,2.4059851714463,57311.434625656,1944.8572596183,959.75397619204,2.4059851716593,61075.078917116,1980.4746390975,886.76754283298,2.3627158657103,205171.63832525,1980.4749239042,886.76695921261,2.3627158656606,211280.83476851,176000,1980.474779472,886.76725518039,2.3627158657144,213537.49913227,156010.45,4059.0105240575,1048.242036216,1.9893173115846
-190.45089112422,218609.78454007,111912.2406602,949.68093463604,1048.2437997093,-16845.478804021,16845.472659318,18087.244957527,-2571.1626257223,959.77530809766,886.76872006891,895.33702119693,199642.63857066,1048.2395874001,949.67468582108,959.75588473314,-2.4059877699713,949.67428954108,2999999199.1713,228013.80314723,4145.9476277278,949.67389146505,1.9476036969931,92964.03480623,4059.0089662123,1048.2438024804,1.9893194706409,269399.14355941,4145.9469265298,949.67468647414,1.9476036965778,94370.830054575,1944.8563282487,959.75588473632,2.4059877702406,72159.377498124,1980.4740646014,886.76872007911,2.3627164932802,214635.09431652,4059.0096663075,1048.2430087217,1.9893177356153,64763.268474589,1944.8566572047,959.75521064606,2.4059859973253,57311.415238158,1944.8566876706,959.75514821604,2.4059859976724,61075.044800385,1980.4741930939,886.76845677481,2.3627164927191,205171.60499307,1980.4744591794,886.76791151766,2.3627164926622,211280.80317935,176000,1980.474324942,886.76818659424,2.3627164929394,213537.49019861,156010.45,4059.0095898289,1048.2430954321,1.98931773429
-188.97343568043,218609.76095233,111912.24181203,949.68207555993,1048.2448073999,-16845.47934957,16845.473471151,18087.244304959,-2571.1626628046,959.77648800974,886.76962359457,895.33801808181,199642.6037228,1048.2406315306,949.67578470758,959.75703363894,-2.4059885141725,949.67540759977,2999999199.1713,228013.78117094,4145.9466275575,949.67502544499,1.9476040965954,92964.033569686,4059.0080774652,1048.2448101301,1.9893198139851,269399.12844969,4145.9459573162,949.67578535578,1.9476040961388,94370.828201839,1944.855767585,959.75703363736,2.4059885142029,72159.346806095,1980.4736236856,886.769623595,2.3627171177861,214635.08134002,4059.0087432569,1048.2440552643,1.9893181576363,64763.254493153,1944.8560806392,959.75639213271,2.405986827,57311.395713164,1944.8561119439,959.75632798386,2.4059868270569,61075.010804893,1980.4737475973,886.76936967764,2.3627171177356,205171.57179054,1980.4739993409,886.76885380963,2.3627171177007,211280.77172166,176000,1980.4738725822,886.76911356105,2.3627171177165,213537.48120192,156010.45,4059.0086696919,1048.2441386713,1.9893181563523
-187.42210746445,218609.73713204,111912.24295249,949.68321679273,1048.2458260009,-16845.479884845,16845.474254535,18087.243668254,-2571.1627000256,959.77767072261,886.77053336546,895.339020483,199642.5692254,1048.2416741731,949.67687288111,959.75817156984,-2.4059892530339,949.67651925972,2999999199.1713,228013.7589857,4145.9456269089,949.67615996719,1.9476044980951,92964.032338673,4059.0071790262,1048.2458287685,1.9893201586169,269399.11321984,4145.9449975539,949.67687352164,1.9476044976512,94370.826349827,1944.8552122743,959.75817156904,2.4059892530917,72159.316386273,1980.4731797155,886.77053336985,2.3627177403139,214635.06841716,4059.0078214074,1048.2451004451,1.9893185808951,64763.24062851,1944.8555059992,959.75756967371,2.4059876524086,57311.376344236,1944.8555348422,959.75751056924,2.4059876525311,61074.9771092,1980.4732986205,886.77028971203,2.3627177402026,205171.53892731,1980.4735407165,886.76979361374,2.3627177400664,211280.74059537,176000,1980.4734190763,886.77004287639,2.3627177400711,213537.47226805,156010.45,4059.0077506956,1048.2451806172,1.9893185796748
-185.79321283767,218609.71333276,111912.24407002,949.68434554025,1048.2468515771,-16845.480392286,16845.475060099,18087.243069276,-2571.1627371753,959.77883748725,886.77144204307,895.34001878608,199642.53483687,1048.2427261045,949.67795265582,959.75930247362,-2.4059899892215,949.6776195784,2999999199.1713,228013.73682845,4145.9446370178,949.67728229275,1.9476048986269,92964.031122153,4059.0062744666,1048.2468543463,1.9893205026974,269399.09806814,4145.9440451987,949.67795328944,1.9476048981932,94370.824505613,1944.8546603934,959.75930247257,2.405989989234,72159.286009508,1980.472736282,886.7714420451,2.3627183606117,214635.05554398,4059.0068913007,1048.2461549878,1.9893190049987,64763.226790792,1944.8549374422,959.75873474954,2.4059884724869,57311.357023894,1944.8549655316,959.75867718941,2.4059884725002,61074.94347286,1980.4728493031,886.77121044437,2.3627183605973,205171.50616066,1980.4730801123,886.77073747488,2.3627183605883,211280.70955539,176000,1980.4729639415,886.77097552978,2.3627183605761,213537.46339354,156010.45,4059.0068238583,1048.2462314532,1.9893190036874
-184.08287347956,218609.68976239,111912.24516323,949.68546295761,1048.2478718244,-16845.480897145,16845.475870169,18087.242480457,-2571.1627739646,959.77999723309,886.7723428048,895.34100847559,199642.50051672,1048.2437807768,949.67902923991,959.76043136805,-2.4059907245066,949.67871287914,2999999199.1713,228013.71489166,4145.9436569064,949.67839353014,1.9476052956457,92964.029923645,4059.0053746258,1048.247874574,1.9893208436832,269399.08306365,4145.9430956543,949.67902987036,1.9476052952238,94370.82265984,1944.8541094932,959.76043136631,2.4059907244879,72159.25573131,1980.4722967111,886.77234280503,2.3627189793012,214635.04269695,4059.0059587436,1048.2472123088,1.9893194274359,64763.213066764,1944.8543729294,959.7598915382,2.4059892883337,57311.337841984,1944.8543996314,959.75983682084,2.4059892883243,61074.909929298,1980.4724030046,886.7721249905,2.3627189792773,205171.473457,1980.4726208711,886.77167854273,2.3627189792619,211280.67857516,176000,1980.4725110907,886.77190350265,2.36271897927,213537.4545303,156010.45,4059.0058945677,1048.2472850706,1.9893194261199
-182.28701715354,218609.66647279,111912.24625754,949.68657348789,1048.2488781955,-16845.481407495,16845.476669357,18087.241877934,-2571.1628104786,959.78115124549,886.77323436306,895.34198939208,199642.46642514,1048.2448255822,949.68010119319,959.76155508222,-2.4059914556194,949.6798010989,2999999199.1713,228013.69320993,4145.9426827068,949.67949806482,1.9476056884062,92964.028735551,4059.0044870333,1048.2488809146,1.9893211808538,269399.06819797,4145.942150196,949.68010181865,1.9476056880062,94370.820826326,1944.8535611213,959.76155507928,2.4059914555823,72159.225669257,1980.4718616296,886.77323436559,2.3627195932554,214635.02991637,4059.0050348557,1048.2482598008,1.9893198459535,64763.199432309,1944.8538109787,959.76104307641,2.4059900992344,57311.318784336,1944.8538365319,959.76099071326,2.4059900991967,61074.876624857,1980.4719615071,886.77302969866,2.3627195933308,205171.44097094,1980.4721664187,886.77260979779,2.3627195932002,211280.64780021,176000,1980.4720629107,886.77282190434,2.3627195930961,213537.44569466,156010.45,4059.0049737053,1048.2483291323,1.9893198447503
-180.40136801121,218609.64342434,111912.24735139,949.68767568154,1048.249870559,-16845.481916559,16845.477450442,18087.241273807,-2571.1628466383,959.78229716572,886.77411759691,895.34296186925,199642.4327259,1048.2458570298,949.68116288712,959.7626671794,-2.4059921792171,949.68088028534,2999999199.1713,228013.6717467,4145.9417156897,949.68059445609,1.9476060776233,92964.027544116,4059.003611811,1048.2498732301,1.9893215153182,269399.05348948,4145.9412137902,949.6811635032,1.9476060772223,94370.819010805,1944.8530184165,959.7626671794,2.4059921792171,72159.195959884,1980.4714306127,886.77411759691,2.3627202003018,214635.01729671,4059.0041227319,1048.2492939548,1.9893202598058,64763.185940615,1944.8532535078,959.76218543489,2.4059909023543,57311.29992853,1944.8532773797,959.76213651696,2.4059909023543,61074.84370865,1980.4715249666,886.7739242487,2.3627202003018,205171.40886301,1980.4717172059,886.77353031574,2.3627202003062,211280.61738441,176000,1980.4716204644,886.77372855656,2.3627202003018,213537.43697419,156010.45,4059.0040668282,1048.2493573376,1.989320258522
-180,218609.63896887,111912.2476458,949.68759960199,1048.2500290933,-16845.48201199,16845.477615554,18087.241149956,-2571.1628541154,959.78252930344,886.77428603665,895.34316129849,199642.4258124,1048.2459688708,949.68137504491,959.76289996321,-2.4059923267395,949.68109975264,2999999199.1713,228013.66663398,4145.9415179525,949.68081864797,1.9476061571438,92964.027229603,4059.0034740285,1048.2500294462,1.9893215824973,269399.04976632,4145.9410271005,949.68137516946,1.9476061569414,94370.818652807,1944.8529048182,959.76289996279,2.4059923264924,72159.189804805,1980.471348414,886.77428603681,2.3627203232095,214635.01409771,4059.0039412849,1048.249499677,1.9893203451308,64763.183165762,1944.8531389894,959.76242010377,2.4059910678442,57311.29604315,1944.8531627655,959.76237138224,2.4059910678272,61074.83689599,1980.4714371765,886.77410414645,2.3627203229772,205171.40223821,1980.4716254368,886.77371836712,2.3627203231224,211280.61108643,176000,1980.4715304257,886.77391306203,2.3627203232719,213537.43458332,156010.45,4059.003885941,1048.2495624252,1.989320344838
